Areas,Name,ID,Requirements,Traits,Rank,Fake Items
Ark,Ark Day 0,_0,,Day,0,
Ark,Ark Day 1,_1,,Day,0,Day*1
Ark,Ark Day 2,_2,I(Day|1),,1,Day*1
Ark,Ark Day 3,_3,I(Day|2),,1,Day*1
Ark,Ark Day 4,_4,I(Day|3),NoCascade,2,Day*1
Ark,Ark Day 5,_5,I(Day|4),NoCascade,2,Day*1
Ark,Ark Day 6,_6,I(Day|5),NoCascade,3,Day*1
Dead Dunes,Main Quest 4,_15,AND(I(MQ4|5)|I(key_d_base|1)|I(key_d_top|1)|I(key_d_wing|1)),Main,6,MQ4*1|ExtraDay*1
Luxerion,Main Quest 1,_16,AND(I(MQ1|4)|I(Day|2)),Main,3,MQ1*1|ExtraDay*1
Wildlands,Main Quest 3,_17,AND(I(MQ3|3)|I(Day|3)),Main,3,MQ3*1|ExtraDay*1
Yusnaan,Main Quest 2,_18,AND(I(MQ2|3)|I(key_y_serap)|I(Day|3)),Main,4,MQ2*1|ExtraDay*1
Wildlands,Main Quest 5,_19,AND(I(MQ3|3)|I(key_s_kairaku|1)|I(key_s_hiai|1)|I(key_s_zyouai|1)|I(key_s_kanki|1)|I(key_s_hunnu|1)|I(Day|3)),Main,6,ExtraDay*1
Luxerion,The Things She Lost Quest,_20,AND(I(key_kb_g|1)|I(key_kb_r|1)),,2,
Luxerion,"Where Are You, Holmes? Quest",_21,,,0,
Luxerion,Like Clockwork Quest,_22,I(MQ1|4),,1,
Luxerion,Dying Wish Quest,_23,AND(I(key_sp_bt|1)|I(MQ1|2)),,2,
Luxerion,Suspicious Spheres Quest,_24,AND(I(key_kyu_pass|1)|I(MQ1|2)),,2,
Luxerion,Born From Chaos Quest,_25,AND(I(key_behi_tume|1)|I(MQ1|2)),,1,
Luxerion,Soul Seeds Quest,_26,I(MQ1|2),,0,
Luxerion,Faster Than Lightning Quest,_27,I(MQ1|2),,1,
Luxerion,Treasured Ball Quest,_28,AND(I(key_ball|1)|I(MQ1|5)),,2,
Luxerion,The Angel's Tears Quest,_29,I(MQ1|2),,3,
Luxerion,The Saint's Stone Quest,_30,I(MQ1|5),,2,Q_Saint*1
Luxerion,Whither Faith Quest,_31,,,0,
